"YEAR","MONTH","DAY","STID","TAVG","HAVG","RAIN"
1998,2,3,GOOD,32.48,89.34,0.00
1998,2,3,MIAM,34.58,89.23,0.00
1998,2,3,TIPT,39.43,87.18,0.00
1998,2,3,WIST,40.21,82.66,0.01
1998,2,4,GOOD,31.62,81.95,0.00
1998,2,4,MIAM,32.71,84.90,0.00
1998,2,4,TIPT,36.60,86.91,0.00
1998,2,4,WIST,35.24,83.53,0.00
1998,2,5,GOOD,28.21,93.94,0.00
1998,2,5,MIAM,33.51,74.98,0.00
1998,2,5,TIPT,34.24,89.63,0.19
1998,2,5,WIST,33.77,74.00,0.00
1998,2,6,GOOD,27.67,90.58,0.09
1998,2,6,MIAM,35.09,75.19,0.00
1998,2,6,TIPT,33.57,83.39,0.07
1998,2,6,WIST,39.11,60.82,0.00
1998,2,7,GOOD,32.93,89.11,0.05
1998,2,7,MIAM,37.90,66.15,0.00
1998,2,7,TIPT,38.71,75.53,0.00
1998,2,7,WIST,36.09,69.70,0.00
1998,2,8,GOOD,39.60,76.79,0.00
1998,2,8,MIAM,38.00,66.70,0.00
1998,2,8,TIPT,45.17,75.96,0.03
1998,2,8,WIST,36.65,80.13,0.00
1998,2,9,GOOD,43.08,72.95,0.00
1998,2,9,MIAM,43.20,75.64,0.01
1998,2,9,TIPT,51.70,68.20,0.00
1998,2,9,WIST,45.61,74.99,0.00
1998,2,10,GOOD,35.45,81.30,0.00
1998,2,10,MIAM,48.34,83.16,0.00
1998,2,10,TIPT,45.20,71.14,0.00
1998,2,10,WIST,49.94,91.35,1.06
1998,2,11,GOOD,39.35,55.41,0.00
1998,2,11,MIAM,38.74,81.01,0.07
1998,2,11,TIPT,46.19,65.62,0.00
1998,2,11,WIST,44.16,70.94,0.00
1998,2,12,GOOD,41.34,55.53,0.00
1998,2,12,MIAM,35.11,79.59,0.00
1998,2,12,TIPT,41.89,84.12,0.44
1998,2,12,WIST,37.97,78.70,0.00
1998,2,13,GOOD,40.61,64.59,0.00
1998,2,13,MIAM,40.63,73.68,0.00
1998,2,13,TIPT,43.33,86.44,0.01
1998,2,13,WIST,42.45,77.77,0.00
1998,2,14,GOOD,45.47,73.87,0.00
1998,2,14,MIAM,45.24,72.56,0.00
1998,2,14,TIPT,48.50,82.80,0.00
1998,2,14,WIST,43.58,76.21,0.00
1998,2,15,GOOD,44.97,86.93,0.03
1998,2,15,MIAM,46.43,77.94,0.07
1998,2,15,TIPT,48.87,85.84,0.03
1998,2,15,WIST,46.86,79.57,0.20
1998,2,16,GOOD,36.53,93.96,0.45
1998,2,16,MIAM,42.28,91.38,0.12
1998,2,16,TIPT,44.52,92.93,0.56
1998,2,16,WIST,46.62,90.10,0.32
1998,2,17,GOOD,39.05,78.73,0.00
1998,2,17,MIAM,40.88,84.62,0.00
1998,2,17,TIPT,45.46,81.70,0.14
1998,2,17,WIST,41.76,86.66,0.42
1998,2,18,GOOD,38.34,86.96,0.02
1998,2,18,MIAM,41.83,77.32,0.00
1998,2,18,TIPT,45.65,81.84,0.78
1998,2,18,WIST,41.95,76.34,0.00
1998,2,19,GOOD,40.23,68.55,0.02
1998,2,19,MIAM,41.03,78.77,0.00
1998,2,19,TIPT,49.80,82.23,0.22
1998,2,19,WIST,44.66,84.52,0.09
1998,2,20,GOOD,41.29,66.31,0.00
1998,2,20,MIAM,41.65,75.95,0.00
1998,2,20,TIPT,50.36,75.20,0.00
1998,2,20,WIST,44.58,74.73,0.00
1998,2,21,GOOD,44.97,76.72,0.00
1998,2,21,MIAM,46.67,68.86,0.00
1998,2,21,TIPT,48.20,82.98,0.17
1998,2,21,WIST,48.79,71.21,0.01
1998,2,22,GOOD,41.89,79.46,0.00
1998,2,22,MIAM,49.85,68.22,0.00
1998,2,22,TIPT,48.17,87.35,0.00
1998,2,22,WIST,49.44,80.30,0.18
1998,2,23,GOOD,47.33,62.39,0.00
1998,2,23,MIAM,48.39,71.77,0.00
1998,2,23,TIPT,47.25,89.97,0.01
1998,2,23,WIST,47.60,77.93,0.00
1998,2,24,GOOD,53.22,51.34,0.00
1998,2,24,MIAM,54.02,68.83,0.00
1998,2,24,TIPT,56.50,74.85,0.00
1998,2,24,WIST,54.26,70.90,0.00
1998,2,25,GOOD,51.83,33.63,0.00
1998,2,25,MIAM,59.32,74.73,0.00
1998,2,25,TIPT,61.78,54.23,0.00
1998,2,25,WIST,62.08,69.97,0.40
1998,2,26,GOOD,39.40,47.92,0.00
1998,2,26,MIAM,52.26,68.66,0.02
1998,2,26,TIPT,47.84,51.91,0.00
1998,2,26,WIST,53.34,87.12,0.58
1998,2,27,GOOD,31.59,59.99,0.04
1998,2,27,MIAM,42.25,56.11,0.00
1998,2,27,TIPT,43.41,56.42,0.00
1998,2,27,WIST,46.73,63.94,0.00
1998,2,28,GOOD,32.69,34.18,0.00
1998,2,28,MIAM,35.69,66.69,0.00
1998,2,28,TIPT,41.15,50.10,0.00
1998,2,28,WIST,40.60,66.39,0.00
1998,3,1,GOOD,31.98,34.87,0.00
1998,3,1,MIAM,34.13,60.08,0.00
1998,3,1,TIPT,40.41,47.76,0.00
1998,3,1,WIST,35.39,68.77,0.00
1998,3,2,GOOD,31.84,40.28,0.00
1998,3,2,MIAM,32.78,67.22,0.00
1998,3,2,TIPT,38.54,54.28,0.00
1998,3,2,WIST,36.48,58.45,0.00
1998,3,3,GOOD,40.02,37.65,0.00
1998,3,3,MIAM,37.24,68.26,0.00
1998,3,3,TIPT,43.20,59.23,0.00
1998,3,3,WIST,38.09,65.23,0.00
1998,3,4,GOOD,34.26,64.76,0.00
1998,3,4,MIAM,42.85,66.42,0.00
1998,3,4,TIPT,53.26,66.16,0.00
1998,3,4,WIST,48.61,77.37,0.42
1998,3,5,GOOD,30.52,73.44,0.00
1998,3,5,MIAM,39.99,83.65,0.00
1998,3,5,TIPT,44.12,69.40,0.00
1998,3,5,WIST,49.82,92.62,0.13
1998,3,6,GOOD,33.30,74.62,0.00
1998,3,6,MIAM,40.39,86.49,0.00
1998,3,6,TIPT,38.28,86.65,0.14
1998,3,6,WIST,45.85,88.35,0.10
1998,3,7,GOOD,30.90,92.55,0.01
1998,3,7,MIAM,44.16,93.57,2.84
1998,3,7,TIPT,44.92,93.21,0.58
1998,3,7,WIST,48.15,93.44,0.58
1998,3,8,GOOD,22.94,72.86,0.03
1998,3,8,MIAM,33.83,91.92,0.04
1998,3,8,TIPT,34.60,71.20,0.00
1998,3,8,WIST,37.58,84.97,0.10
1998,3,9,GOOD,20.08,63.60,0.02
1998,3,9,MIAM,24.59,71.08,0.08
1998,3,9,TIPT,31.13,54.22,0.00
1998,3,9,WIST,31.70,59.82,0.00
1998,3,10,GOOD,29.95,58.00,0.01
1998,3,10,MIAM,22.06,62.35,0.00
1998,3,10,TIPT,28.89,55.99,0.00
1998,3,10,WIST,27.27,55.04,0.00
1998,3,11,GOOD,18.40,64.51,0.00
1998,3,11,MIAM,20.99,68.03,0.00
1998,3,11,TIPT,30.29,63.77,0.00
1998,3,11,WIST,28.35,62.52,0.00
1998,3,12,GOOD,32.94,55.92,0.00
1998,3,12,MIAM,23.23,60.95,0.00
1998,3,12,TIPT,31.03,61.43,0.00
1998,3,12,WIST,29.04,52.34,0.00
1998,3,13,GOOD,50.00,44.27,0.00
1998,3,13,MIAM,43.24,65.64,0.00
1998,3,13,TIPT,46.03,74.91,0.00
1998,3,13,WIST,44.49,66.71,0.00
1998,3,14,GOOD,35.84,83.90,0.00
1998,3,14,MIAM,42.92,86.31,0.01
1998,3,14,TIPT,54.50,88.85,0.00
1998,3,14,WIST,51.56,85.45,0.09
1998,3,15,GOOD,35.19,96.63,0.40
1998,3,15,MIAM,42.61,94.23,0.49
1998,3,15,TIPT,56.16,96.19,2.41
1998,3,15,WIST,52.49,94.50,1.00
1998,3,16,GOOD,31.60,95.76,0.29
1998,3,16,MIAM,44.16,93.26,1.19
1998,3,16,TIPT,53.55,93.71,0.44
1998,3,16,WIST,49.91,89.43,0.92
1998,3,17,GOOD,35.01,92.66,0.35
1998,3,17,MIAM,49.04,92.57,0.31
1998,3,17,TIPT,45.88,83.75,0.02
1998,3,17,WIST,52.98,84.47,0.32
1998,3,18,GOOD,33.32,95.49,0.01
1998,3,18,MIAM,45.65,87.61,0.01
1998,3,18,TIPT,48.63,83.14,0.38
1998,3,18,WIST,51.18,86.02,0.02
1998,3,19,GOOD,27.93,89.12,0.01
1998,3,19,MIAM,38.69,94.57,0.73
1998,3,19,TIPT,40.10,77.74,0.02
1998,3,19,WIST,46.34,87.77,0.71
1998,3,20,GOOD,31.01,77.34,0.35
1998,3,20,MIAM,37.59,82.10,0.18
1998,3,20,TIPT,40.68,68.59,0.00
1998,3,20,WIST,39.52,73.98,0.00
1998,3,21,GOOD,39.01,74.95,0.00
1998,3,21,MIAM,40.62,72.08,0.00
1998,3,21,TIPT,43.83,70.42,0.00
1998,3,21,WIST,44.92,59.79,0.00
1998,3,22,GOOD,50.50,59.09,0.00
1998,3,22,MIAM,47.29,70.39,0.00
1998,3,22,TIPT,54.31,66.29,0.00
1998,3,22,WIST,48.08,66.84,0.00
1998,3,23,GOOD,48.35,75.96,0.00
1998,3,23,MIAM,46.81,74.36,0.00
1998,3,23,TIPT,59.97,66.38,0.00
1998,3,23,WIST,54.75,67.01,0.00
1998,3,24,GOOD,53.68,69.08,0.00
1998,3,24,MIAM,54.21,67.56,0.00
1998,3,24,TIPT,56.85,76.08,0.00
1998,3,24,WIST,58.04,62.67,0.00
1998,3,25,GOOD,66.93,39.08,0.00
1998,3,25,MIAM,67.03,61.79,0.00
1998,3,25,TIPT,69.39,71.30,0.00
1998,3,25,WIST,68.00,58.43,0.00
1998,3,26,GOOD,62.14,53.79,0.00
1998,3,26,MIAM,68.59,61.48,0.00
1998,3,26,TIPT,68.55,68.65,0.00
1998,3,26,WIST,71.34,53.92,0.00
1998,3,27,GOOD,55.23,55.04,0.01
1998,3,27,MIAM,64.33,66.40,0.16
1998,3,27,TIPT,64.45,62.96,0.42
1998,3,27,WIST,68.82,56.41,0.38
1998,3,28,GOOD,57.74,44.05,0.00
1998,3,28,MIAM,67.52,59.29,0.00
1998,3,28,TIPT,66.47,58.97,0.00
1998,3,28,WIST,73.02,57.25,0.00
1998,3,29,GOOD,61.96,29.98,0.00
1998,3,29,MIAM,70.78,68.93,0.00
1998,3,29,TIPT,71.34,69.45,0.00
1998,3,29,WIST,73.29,61.34,0.00
1998,3,30,GOOD,40.92,77.75,0.20
1998,3,30,MIAM,68.30,72.63,0.43
1998,3,30,TIPT,66.40,58.01,0.00
1998,3,30,WIST,72.19,63.99,1.19
1998,3,31,GOOD,40.77,59.95,0.00
1998,3,31,MIAM,50.14,75.08,0.13
1998,3,31,TIPT,53.06,55.76,0.00
1998,3,31,WIST,55.40,69.34,0.03
1998,4,1,GOOD,48.20,49.76,0.00
1998,4,1,MIAM,52.27,54.98,0.00
1998,4,1,TIPT,57.30,57.24,0.00
1998,4,1,WIST,55.70,61.91,0.00
1998,4,2,GOOD,50.45,50.89,0.00
1998,4,2,MIAM,59.32,56.09,0.10
1998,4,2,TIPT,60.53,41.13,0.00
1998,4,2,WIST,61.96,61.30,0.04
1998,4,3,GOOD,47.34,59.24,0.00
1998,4,3,MIAM,48.52,88.58,0.21
1998,4,3,TIPT,55.36,50.36,0.00
1998,4,3,WIST,57.22,66.20,0.00
1998,4,4,GOOD,46.68,60.16,0.00
1998,4,4,MIAM,45.89,79.43,0.00
1998,4,4,TIPT,48.25,68.36,0.00
1998,4,4,WIST,49.83,70.70,0.00
1998,4,5,GOOD,58.49,39.26,0.00
1998,4,5,MIAM,51.75,69.38,0.00
1998,4,5,TIPT,58.20,66.14,0.00
1998,4,5,WIST,51.69,70.32,0.00
1998,4,6,GOOD,53.85,41.03,0.00
1998,4,6,MIAM,62.76,61.76,0.18
1998,4,6,TIPT,60.06,74.91,0.16
1998,4,6,WIST,60.44,65.98,0.37
1998,4,7,GOOD,48.19,68.78,0.03
1998,4,7,MIAM,58.01,75.48,0.01
1998,4,7,TIPT,60.34,49.55,0.00
1998,4,7,WIST,66.08,57.12,0.00
1998,4,8,GOOD,44.52,59.29,0.00
1998,4,8,MIAM,49.00,75.82,0.00
1998,4,8,TIPT,53.48,61.79,0.00
1998,4,8,WIST,56.85,64.92,0.00
1998,4,9,GOOD,45.47,55.50,0.00
1998,4,9,MIAM,51.18,66.44,0.00
1998,4,9,TIPT,52.60,59.72,0.00
1998,4,9,WIST,53.59,60.13,0.00
1998,4,10,GOOD,54.78,48.05,0.00
1998,4,10,MIAM,53.39,63.51,0.00
1998,4,10,TIPT,58.31,56.56,0.00
1998,4,10,WIST,54.28,62.35,0.00
1998,4,11,GOOD,64.09,39.90,0.00
1998,4,11,MIAM,60.47,52.59,0.00
1998,4,11,TIPT,65.07,49.70,0.00
1998,4,11,WIST,58.38,57.77,0.00
1998,4,12,GOOD,65.80,26.74,0.00
1998,4,12,MIAM,66.86,43.95,0.00
1998,4,12,TIPT,69.65,53.29,0.00
1998,4,12,WIST,66.76,45.82,0.00
1998,4,13,GOOD,58.42,37.59,0.00
1998,4,13,MIAM,68.22,57.47,0.00
1998,4,13,TIPT,67.24,44.35,0.00
1998,4,13,WIST,69.26,57.64,0.00
1998,4,14,GOOD,58.92,28.37,0.00
1998,4,14,MIAM,66.67,60.48,0.00
1998,4,14,TIPT,68.98,55.48,0.00
1998,4,14,WIST,65.59,69.00,0.00
1998,4,15,GOOD,46.86,70.15,0.23
1998,4,15,MIAM,65.87,73.28,0.00
1998,4,15,TIPT,63.54,61.51,0.00
1998,4,15,WIST,71.76,71.59,0.07
1998,4,16,GOOD,43.08,61.32,0.05
1998,4,16,MIAM,48.22,72.22,0.00
1998,4,16,TIPT,51.80,61.41,0.00
1998,4,16,WIST,53.89,71.56,0.13
1998,4,17,GOOD,41.60,57.61,0.00
1998,4,17,MIAM,50.10,63.95,0.00
1998,4,17,TIPT,51.38,57.97,0.00
1998,4,17,WIST,50.22,72.91,0.00
1998,4,18,GOOD,42.38,75.83,0.14
1998,4,18,MIAM,53.44,65.08,0.00
1998,4,18,TIPT,54.61,55.25,0.00
1998,4,18,WIST,53.51,74.63,0.00
1998,4,19,GOOD,50.90,50.96,0.00
1998,4,19,MIAM,54.15,67.16,0.00
1998,4,19,TIPT,57.81,57.77,0.00
1998,4,19,WIST,55.11,73.20,0.00
1998,4,20,GOOD,47.34,51.89,0.09
1998,4,20,MIAM,50.70,70.36,0.00
1998,4,20,TIPT,51.39,73.18,0.12
1998,4,20,WIST,55.37,74.10,0.07
1998,4,21,GOOD,48.21,50.01,0.00
1998,4,21,MIAM,52.07,63.50,0.00
1998,4,21,TIPT,53.67,62.48,0.01
1998,4,21,WIST,52.55,73.43,0.01
1998,4,22,GOOD,53.20,43.21,0.00
1998,4,22,MIAM,54.64,54.37,0.00
1998,4,22,TIPT,58.61,51.69,0.00
1998,4,22,WIST,53.76,60.87,0.00
1998,4,23,GOOD,61.86,38.63,0.00
1998,4,23,MIAM,57.18,59.70,0.00
1998,4,23,TIPT,62.83,49.83,0.00
1998,4,23,WIST,54.21,67.71,0.00
1998,4,24,GOOD,70.43,28.66,0.00
1998,4,24,MIAM,63.55,53.53,0.00
1998,4,24,TIPT,72.10,43.28,0.00
1998,4,24,WIST,62.21,60.69,0.00
1998,4,25,GOOD,64.75,31.97,0.00
1998,4,25,MIAM,71.20,57.36,0.04
1998,4,25,TIPT,77.54,35.56,0.00
1998,4,25,WIST,71.49,53.15,0.00
1998,4,26,GOOD,49.74,75.99,0.10
1998,4,26,MIAM,60.28,90.74,0.92
1998,4,26,TIPT,62.29,83.51,0.19
1998,4,26,WIST,66.02,78.39,0.62
1998,4,27,GOOD,44.00,85.75,0.14
1998,4,27,MIAM,54.50,92.00,1.55
1998,4,27,TIPT,55.08,75.51,0.00
1998,4,27,WIST,60.41,77.34,0.00
1998,4,28,GOOD,41.23,76.24,0.02
1998,4,28,MIAM,51.62,83.43,0.00
1998,4,28,TIPT,49.98,66.31,0.00
1998,4,28,WIST,55.11,76.30,0.00
1998,4,29,GOOD,49.15,62.98,0.01
1998,4,29,MIAM,52.64,84.25,0.00
1998,4,29,TIPT,53.97,64.94,0.00
1998,4,29,WIST,50.88,80.00,0.00
1998,4,30,GOOD,56.59,49.50,0.00
1998,4,30,MIAM,52.13,89.30,0.00
1998,4,30,TIPT,60.11,61.36,0.00
1998,4,30,WIST,54.83,80.35,0.00
1998,5,1,GOOD,60.07,48.78,0.00
1998,5,1,MIAM,57.58,78.37,0.01
1998,5,1,TIPT,67.29,56.95,0.00
1998,5,1,WIST,57.35,76.32,0.00
1998,5,2,GOOD,59.49,52.48,0.00
1998,5,2,MIAM,61.05,75.40,0.04
1998,5,2,TIPT,68.49,57.73,0.00
1998,5,2,WIST,62.36,77.96,0.14
1998,5,3,GOOD,60.99,57.74,0.03
1998,5,3,MIAM,59.62,71.69,0.00
1998,5,3,TIPT,65.33,50.93,0.00
1998,5,3,WIST,60.87,69.58,0.00
