Note:,Water retention parameters were estimated using Rosetta3. The K0 and L parameters were estimated using Rosetta1 (model C2) run in a Windows98 inside a virtual machine,,,,,,,,,
Site_ID,theta_r[cm3/cm3],theta_s[cm3/cm3],alpha[1/kPa],n,m,Ks[cm/day],K0[cm/day],Uncertainty_K0,L,Uncertainty_L
INOL,0.139478,0.474265,0.034568,1.200612,0.167092,2.635852,0.6797,0.3042,-3.8468,1.7713
JAYX,0.133927,0.465186,0.0501,1.233708,0.189436,4.686309,0.9785,0.3179,-3.4845,1.7073
KENT,0.213257,0.3711,0.243348,1.605888,0.377291,5.849479,1.3372,0.575,-2.5225,2.3328
KETC,0.115775,0.388657,0.056447,1.175257,0.149122,1.332462,0.8796,0.3892,-5.5195,2.3341
KIN2,0.104046,0.359648,0.144033,1.262914,0.208181,4.283695,1.5127,0.4856,-4.0219,2.5578
LAHO,0.097459,0.370823,0.110346,1.256671,0.204247,4.479892,1.4368,0.4462,-3.8186,2.2629
LANE,0.035593,0.345276,0.088313,1.445097,0.308005,25.563072,1.7824,0.3541,-1.6369,1.3686
MADI,0.067142,0.342932,0.152721,1.307228,0.235023,9.835008,1.7823,0.5097,-3.1369,2.2719
MANG,0.035349,0.329856,0.414769,1.792332,0.442068,300.479838,2.8322,0.8178,-1.2234,2.5638
MARE,0.090219,0.37015,0.078578,1.242956,0.195466,3.59732,1.2796,0.4155,-3.6888,2.0284
MAYR,0.121501,0.409119,0.089954,1.199987,0.166658,3.222469,1.2059,0.4097,-5.1527,2.4029
MCAL,0.08757,0.367109,0.098791,1.221875,0.181586,4.34091,1.3786,0.4424,-4.4607,2.3667
MEDF,0.185785,0.42955,0.142777,1.127517,0.113095,1.084539,0.9079,0.4201,-11.7733,4.9911
MEDI,0.094273,0.372477,0.039813,1.218696,0.179451,1.396558,0.8739,0.35,-3.4435,1.7457
MIAM,0.142323,0.492157,0.037057,1.225339,0.1839,4.399598,0.7774,0.3086,-3.3494,1.675
MINC,0.063814,0.306019,0.043844,1.295109,0.227864,1.22388,1.0859,0.4427,-2.3752,1.657
MRSH,0.130372,0.392605,0.087339,1.162482,0.139771,1.304354,0.9961,0.4358,-7.1221,2.9706
MTHE,0.07305,0.35419,0.092954,1.298416,0.229831,5.937733,1.4988,0.4236,-2.9028,1.8641
NEWK,0.094183,0.422501,0.055098,1.366068,0.267972,10.091409,1.3044,0.2981,-2.02,1.1899
NEWP,,,,,,,,,,
NINN,0.087127,0.426018,0.139802,1.304242,0.233271,25.973763,1.8906,0.3962,-3.0749,1.9622
NOWA,0.105871,0.427765,0.047612,1.330559,0.248436,6.695034,1.1187,0.2943,-2.2,1.2732
NRMN,0.126081,0.371417,0.071066,1.244021,0.196155,1.595287,0.9848,0.4124,-3.7994,2.0822
OILT,0.051676,0.36871,0.153593,1.356434,0.262773,28.329769,1.9739,0.4296,-2.4932,1.8964
OKCE,0.037082,0.297606,0.144008,1.342422,0.255078,12.774023,1.9037,0.6661,-2.4552,2.2556
OKCN,0.13008,0.419277,0.079643,1.171052,0.146067,2.271755,1.0537,0.3983,-6.3306,2.6303
OKCW,0.06958,0.367966,0.048512,1.407256,0.289397,6.747762,1.2726,0.3206,-1.7273,1.1325
OKEM,0.132052,0.364004,0.074249,1.220333,0.180552,1.201183,0.9196,0.4282,-4.4428,2.3046
OKMU,0.128648,0.378183,0.067036,1.151125,0.131285,0.702523,0.7975,0.4282,-7.4557,2.9907
PAUL,0.060206,0.382054,0.075746,1.404701,0.288105,16.678397,1.6179,0.3284,-1.8533,1.2325
PAWN,0.133374,0.451941,0.06716,1.186089,0.156893,3.626157,1.0653,0.3584,-5.2536,2.22
PERK,0.077264,0.369798,0.130701,1.301152,0.23145,10.39745,1.7047,0.445,-3.1265,2.0745
PORT,0.060643,0.360134,0.130486,1.330552,0.248432,14.661928,1.7981,0.4348,-2.6945,1.9075
PRYO,0.141783,0.457426,0.045599,1.157222,0.135861,1.596449,0.7241,0.3359,-6.1368,2.4095
PUTN,0.082535,0.426085,0.156402,1.333206,0.249929,32.349611,2.013,0.4038,-2.8183,1.9402
REDR,0.129832,0.376409,0.094356,1.148604,0.129378,1.101505,0.9476,0.4689,-8.4024,3.4435
RETR,0.13196,0.440321,0.165118,1.210957,0.174207,11.683913,1.6347,0.435,-5.5744,2.8362
RING,0.111485,0.364186,0.13201,1.207682,0.171967,3.032896,1.3462,0.4893,-5.4784,2.8918
SALL,0.093661,0.375055,0.019349,1.480749,0.324666,2.05099,0.6053,0.2511,-1.2086,0.9875
SEIL,0.053751,0.383949,0.245952,1.427267,0.29936,77.380944,2.3251,0.4878,-2.286,2.1409
SEMI,0.116626,0.386127,0.041192,1.171626,0.146485,0.806849,0.6989,0.3567,-5.191,2.1798
SHAW,0.127142,0.365303,0.080822,1.151191,0.131334,0.773304,0.8644,0.4649,-7.8798,3.2322
SKIA,0.099152,0.39187,0.059719,1.226516,0.184682,3.082748,1.1095,0.3724,-3.7288,1.8739
SLAP,0.038451,0.327134,0.270164,1.418344,0.294952,68.64564,2.3108,0.6931,-2.2184,2.5334
SPEN,0.079597,0.352375,0.101425,1.229442,0.186623,4.502251,1.414,0.4589,-4.2669,2.3725
STIG,0.102055,0.31776,0.061475,1.2649,0.209424,1.061099,0.976,0.4797,-3.285,2.0485
STIL,0.075491,0.37121,0.071582,1.330973,0.24867,6.777184,1.4117,0.3697,-2.3865,1.497
STUA,0.048478,0.311334,0.101502,1.303491,0.232829,6.37231,1.6227,0.5231,-2.757,2.0377
SULP,0.069517,0.406132,0.25919,1.428413,0.299922,90.663992,2.3677,0.479,-2.3956,2.1964
TAHL,,,,,,,,,,
TALA,0.122031,0.481029,0.112769,1.234658,0.190059,19.629343,1.67,0.3687,-4.2186,2.1422
TALI,,,,,,,,,,
TIPT,0.055334,0.381773,0.148964,1.355101,0.262048,31.074126,1.9756,0.4085,-2.4899,1.832
TISH,0.131575,0.358163,0.083237,1.20378,0.169283,1.232497,0.9446,0.4524,-5.1097,2.5425
TULN,0.12491,0.405512,0.039777,1.188498,0.158602,1.024978,0.6914,0.3311,-4.4508,1.9669
VALL,0.056263,0.332858,0.04991,1.412196,0.291883,5.110301,1.3108,0.3536,-1.6919,1.2561
VANO,0.136052,0.465674,0.074575,1.162745,0.139966,3.832681,1.1049,0.3745,-6.6192,2.6412
VINI,0.125486,0.465793,0.1743,1.238213,0.192385,25.434709,1.8653,0.4258,-4.6692,2.5604
WAL2,0.038176,0.353147,0.361511,1.590533,0.37128,214.40636,2.6457,0.6532,-1.6635,2.4394
WALT,0.105228,0.364337,0.047507,1.210731,0.174052,1.066077,0.8638,0.3846,-3.9784,1.9685
WASH,0.082426,0.282856,0.108908,1.225463,0.183982,1.338273,1.2959,0.7053,-4.5967,2.8461
WATO,0.066487,0.390803,0.142901,1.345781,0.256937,24.698531,1.9212,0.4095,-2.6024,1.8329
WAUR,0.046588,0.34753,0.194067,1.36619,0.268037,32.010094,2.0821,0.5242,-2.5314,2.1831
WEAT,0.130925,0.507939,0.267318,1.505464,0.335753,177.951145,2.5176,0.5101,-2.3285,2.4277
WEBR,0.052432,0.390829,0.120236,1.382127,0.276477,34.163048,1.9233,0.3563,-2.1342,1.5373
WEST,,,,,,,,,,
WILB,0.124195,0.494052,0.15483,1.217318,0.178522,34.381322,1.8858,0.4055,-5.08,2.5602
WIST,0.131678,0.496324,0.105988,1.182692,0.154472,15.50664,1.5213,0.3781,-5.9909,2.5986
WOOD,0.053789,0.405321,0.253905,1.441796,0.306421,99.266334,2.4281,0.4507,-2.2102,2.1093
WYNO,0.100191,0.462403,0.049751,1.372322,0.271308,17.938572,1.3274,0.2601,-1.8808,1.0868
YUKO,0.053022,0.344262,0.112616,1.320239,0.242562,12.129239,1.7144,0.4339,-2.6565,1.8767
